"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;CALB;CNOR;CORS;CSUD;E_NE;E_NW;E_SD;FRAN;GREC;MFTV;NORD;PBNF;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ;TBRV
20050101;1;27,65;27,40;28,00;28,00;27,40;28,00;28,00;27,40;27,40;;27,40;28,00;27,40;27,40;28,00;28,00;28,00;28,00;28,00;27,40;28,00;27,40;27,40
20050101;2;24,09;23,70;24,50;24,50;23,70;24,50;24,50;23,70;23,70;;23,70;24,50;23,70;23,70;24,50;25,24;24,50;24,50;25,24;23,70;24,50;23,70;23,70
20050101;3;24,50;24,40;24,50;24,50;24,40;24,50;24,50;24,40;24,40;;24,40;24,50;24,40;24,40;24,50;25,24;24,50;24,50;25,24;24,40;24,50;24,40;24,40
20050101;4;23,96;23,50;24,50;24,50;23,50;24,50;24,50;23,50;23,50;;23,50;24,50;23,50;23,50;24,50;25,24;24,50;24,50;25,24;23,50;24,50;23,50;23,50
20050101;5;24,47;24,40;24,50;24,50;24,40;24,50;24,50;24,40;24,40;;24,40;24,50;24,40;24,40;24,50;24,87;24,50;24,50;24,87;24,40;24,50;24,40;24,40
20050101;6;23,90;23,50;24,50;24,50;23,50;24,50;24,50;23,50;23,50;;23,50;24,50;23,50;23,50;24,50;24,50;24,50;24,50;24,50;23,50;24,50;23,50;23,50
20050101;7;23,90;23,50;24,50;24,50;23,50;24,50;24,50;23,50;23,50;;23,50;24,50;23,50;23,50;24,50;24,62;24,50;24,50;24,62;23,50;24,50;23,50;23,50
20050101;8;23,97;23,70;24,40;24,40;23,70;24,40;24,40;23,70;23,70;;23,70;24,40;23,70;23,70;24,40;24,40;24,40;24,40;24,40;23,70;24,40;23,70;23,70
20050101;9;16,10;10,00;24,90;24,90;10,00;24,90;24,90;10,00;10,00;;10,00;24,90;10,00;10,00;24,90;24,90;24,90;24,90;24,90;10,00;24,90;10,00;10,00
20050101;10;10,71;0,00;24,90;24,90;0,00;24,90;24,90;0,00;0,00;;0,00;24,90;0,00;0,00;24,90;24,90;24,90;24,90;24,90;0,00;24,90;0,00;0,00
20050101;11;11,29;0,00;25,00;25,00;0,00;25,00;25,00;0,00;0,00;;0,00;25,00;0,00;0,00;25,00;27,54;25,00;25,00;27,54;0,00;25,00;0,00;0,00
20050101;12;12,12;0,00;26,41;26,41;0,00;26,41;26,41;0,00;0,00;;0,00;26,41;0,00;0,00;26,41;28,90;26,41;26,41;28,90;0,00;26,41;0,00;0,00
20050101;13;26,22;23,50;29,51;29,51;23,50;29,51;29,51;23,50;23,50;;23,50;29,51;23,50;23,50;29,51;29,51;29,51;29,51;29,51;23,50;29,51;23,50;23,50
20050101;14;24,78;24,20;25,00;25,00;24,20;25,00;25,00;24,20;24,20;;24,20;25,00;24,20;24,20;25,00;27,56;25,00;25,00;27,56;24,20;25,00;24,20;24,20
20050101;15;10,48;0,00;24,90;24,90;0,00;24,90;24,90;0,00;0,00;;0,00;24,90;0,00;0,00;24,90;24,90;24,90;24,90;24,90;0,00;24,90;0,00;0,00
20050101;16;10,42;0,00;24,90;24,90;0,00;24,90;24,90;0,00;0,00;;0,00;24,90;0,00;0,00;24,90;24,90;24,90;24,90;24,90;0,00;24,90;0,00;0,00
20050101;17;24,14;23,50;25,00;25,00;23,50;25,00;25,00;23,50;23,50;;23,50;25,00;23,50;23,50;25,00;25,00;25,00;25,00;25,00;23,50;25,00;23,50;23,50
20050101;18;25,15;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;;25,00;25,00;25,00;25,00;25,00;26,95;25,00;25,00;26,95;25,00;25,00;25,00;25,00
20050101;19;25,66;25,00;26,37;26,37;25,00;26,37;26,37;25,00;25,00;;25,00;26,37;25,00;25,00;26,37;27,54;26,37;26,37;27,54;25,00;26,37;25,00;25,00
20050101;20;26,21;25,00;27,92;27,92;25,00;27,92;27,92;25,00;25,00;;25,00;27,92;25,00;25,00;27,92;27,92;27,92;27,92;27,92;25,00;27,92;25,00;25,00
20050101;21;26,27;25,00;28,02;28,02;25,00;28,02;28,02;25,00;25,00;;25,00;28,02;25,00;25,00;28,02;28,02;28,02;28,02;28,02;25,00;28,02;25,00;25,00
20050101;22;26,01;24,90;27,54;27,54;24,90;27,54;27,54;24,90;24,90;;24,90;27,54;24,90;24,90;27,54;27,54;27,54;27,54;27,54;24,90;27,54;24,90;24,90
20050101;23;10,88;0,00;25,00;25,00;0,00;25,00;25,00;0,00;0,00;;0,00;25,00;0,00;0,00;25,00;27,79;25,00;25,00;27,79;0,00;25,00;0,00;0,00
20050101;24;24,45;23,50;25,00;25,00;23,50;25,00;25,00;23,50;23,50;;23,50;25,00;23,50;23,50;25,00;28,75;25,00;25,00;28,75;23,50;25,00;23,50;23,50
20050102;1;28,27;28,34;28,34;28,34;28,34;28,34;28,34;28,34;28,34;;28,34;28,34;28,34;28,34;28,34;27,30;28,34;28,34;27,30;28,34;28,34;28,34;28,34
20050102;2;24,72;24,75;24,75;24,75;24,75;24,75;24,75;24,75;24,75;;24,75;24,75;24,75;24,75;24,75;24,30;24,75;24,75;24,30;24,75;24,75;24,75;24,75
20050102;3;25,00;25,05;25,05;25,05;25,05;25,05;25,05;25,05;25,05;;25,05;25,05;25,05;25,05;25,05;24,30;25,05;25,05;24,30;25,05;25,05;25,05;25,05
20050102;4;25,19;25,25;25,25;25,25;25,25;25,25;25,25;25,25;25,25;;25,25;25,25;25,25;25,25;25,25;24,30;25,25;25,25;24,30;25,25;25,25;25,25;25,25
20050102;5;25,21;25,27;25,27;25,27;25,27;25,27;25,27;25,27;25,27;;25,27;25,27;25,27;25,27;25,27;24,30;25,27;25,27;24,30;25,27;25,27;25,27;25,27
20050102;6;25,26;25,33;25,33;25,33;25,33;25,33;25,33;25,33;25,33;;25,33;25,33;25,33;25,33;25,33;24,30;25,33;25,33;24,30;25,33;25,33;25,33;25,33
20050102;7;26,03;26,09;26,09;26,09;26,09;26,09;26,09;26,09;26,09;;26,09;26,09;26,09;26,09;26,09;25,13;26,09;26,09;25,13;26,09;26,09;26,09;26,09
20050102;8;26,14;26,21;26,21;26,21;26,21;26,21;26,21;26,21;26,21;;26,21;26,21;26,21;26,21;26,21;25,25;26,21;26,21;25,25;26,21;26,21;26,21;26,21
20050102;9;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25;33,25
20050102;10;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50;34,50
20050102;11;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54;34,54
20050102;12;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91;34,91
20050102;13;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00
20050102;14;34,83;35,06;35,06;35,06;35,06;35,06;35,06;35,06;35,06;;35,06;35,06;35,06;35,06;35,06;31,91;35,06;35,06;31,91;35,06;35,06;35,06;35,06
20050102;15;33,95;34,10;34,10;34,10;34,10;34,10;34,10;34,10;34,10;;34,10;34,10;34,10;34,10;34,10;32,00;34,10;34,10;32,00;34,10;34,10;34,10;34,10
20050102;16;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93;32,93
20050102;17;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04;34,04
20050102;18;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38;45,38
