"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;CALB;CNOR;COAC;CORS;CSUD;E_CO;E_NE;E_NW;E_SD;FOGN;FRAN;GREC;MFTV;NORD;PBNF;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ;TBRV
20060101;1;35,64;0,00;35,67;35,67;35,67;;35,69;35,67;;35,67;35,67;35,67;;35,67;35,67;35,67;35,67;35,67;35,22;35,67;35,69;35,22;35,67;35,67;35,67;35,67
20060101;2;29,92;0,00;30,16;30,16;30,16;;30,19;30,16;;30,16;30,16;30,16;;30,16;30,16;30,16;30,16;30,16;27,00;30,16;30,19;27,00;30,16;30,16;30,16;30,16
20060101;3;29,93;0,00;30,15;30,15;30,15;;30,19;30,15;;30,15;30,15;30,15;;30,15;30,15;30,15;30,15;30,15;27,23;30,15;30,19;27,23;30,15;30,15;30,15;30,15
20060101;4;29,80;0,00;30,14;30,14;30,14;;30,19;30,14;;30,14;30,14;30,14;;30,14;30,14;30,14;30,14;30,14;25,57;30,14;30,19;25,57;30,14;30,14;30,14;30,14
20060101;5;30,13;0,00;30,13;30,13;30,13;;30,13;30,13;;30,13;30,13;30,13;;30,13;30,13;30,13;30,13;30,13;30,10;30,13;30,13;30,10;30,13;30,13;30,13;30,13
20060101;6;29,52;0,00;30,12;30,12;30,12;;30,19;30,12;;30,12;30,12;30,12;;30,12;30,12;30,12;30,12;30,12;21,70;30,12;30,19;21,70;30,12;30,12;30,12;30,12
20060101;7;30,10;0,00;30,10;30,10;30,10;;30,10;30,10;;30,1;30,10;30,10;;30,10;30,10;30,10;30,10;30,10;30,10;30,10;30,10;30,10;30,10;30,1;30,1;30,1
20060101;8;28,47;0,00;28,47;28,47;28,47;;28,47;28,47;;28,47;28,47;28,47;;28,47;28,47;28,47;28,47;28,47;28,47;28,47;28,47;28,47;28,47;28,47;28,47;28,47
20060101;9;35,50;0,00;35,50;35,50;35,50;;35,50;35,50;;35,5;35,50;35,50;;35,50;35,50;35,50;35,50;35,50;35,50;35,50;35,50;35,50;35,50;35,5;35,5;35,5
20060101;10;40,00;0,00;40,00;40,00;40,00;;40,00;40,00;;40;40,00;40,00;;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40;40;40
