"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;CALB;CNOR;COAC;CORS;CSUD;E_CO;E_NE;E_NW;E_SD;FOGN;FRAN;GREC;MFTV;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ;TBRV
20080101;1;70,68;0,00;70,68;70,68;70,68;70,68;70,68;70,68;70,68;70,68;70,68;70,68;70,68;0,00;0,00;70,68;70,68;70,68;70,68;70,68;70,68;0,00;70,68;0,00;70,68
20080101;2;60,68;0,00;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;0,00;0,00;60,68;60,68;60,68;60,68;60,68;60,68;0,00;60,68;0,00;60,68
20080101;3;55,61;0,00;55,67;55,67;55,67;54,55;54,55;55,67;54,55;55,67;55,67;55,67;55,67;0,00;0,00;55,67;55,67;55,67;55,67;54,55;55,67;0,00;55,67;0,00;55,67
20080101;4;51,54;0,00;51,67;51,67;51,67;49,00;49,00;51,67;49,00;51,67;51,67;51,67;51,67;0,00;0,00;51,67;51,67;51,67;51,67;49,00;51,67;0,00;51,67;0,00;51,67
20080101;5;51,52;0,00;51,65;51,65;51,65;49,00;49,00;51,65;49,00;51,65;51,65;51,65;51,65;0,00;0,00;51,65;51,65;51,65;51,65;49,00;51,65;0,00;51,65;0,00;51,65
20080101;6;51,51;0,00;51,64;51,64;51,64;49,00;49,00;51,64;49,00;51,64;51,64;51,64;51,64;0,00;0,00;51,64;51,64;51,64;51,64;49,00;51,64;0,00;51,64;0,00;51,64
20080101;7;54,60;0,00;54,65;54,65;54,65;53,73;53,73;54,65;53,73;54,65;54,65;54,65;54,65;0,00;0,00;54,65;54,65;54,65;54,65;53,73;54,65;0,00;54,65;0,00;54,65
20080101;8;51,65;0,00;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;0,00;0,00;51,65;51,65;51,65;51,65;51,65;51,65;0,00;51,65;0,00;51,65
20080101;9;50,65;0,00;50,65;50,65;50,65;50,65;50,65;50,65;50,65;50,65;50,65;50,65;50,65;0,00;0,00;50,65;50,65;50,65;50,65;50,65;50,65;0,00;50,65;0,00;50,65
20080101;10;52,62;0,00;52,61;52,61;52,61;52,61;52,61;52,61;52,61;52,61;52,61;52,61;52,61;0,00;0,00;52,61;52,61;52,70;52,61;52,61;52,70;0,00;52,61;0,00;52,61
20080101;11;61,40;0,00;60,61;60,61;60,61;60,61;60,61;60,61;60,61;60,61;60,61;60,61;60,61;0,00;0,00;60,61;60,61;70,46;60,61;60,61;70,46;0,00;60,61;0,00;60,61
20080101;12;61,46;0,00;60,67;60,67;60,67;60,67;60,67;60,67;60,67;60,67;60,67;60,67;60,67;0,00;0,00;60,67;60,67;70,46;60,67;60,67;70,46;0,00;60,67;0,00;60,67
20080101;13;60,66;0,00;60,00;60,00;60,00;59,70;59,70;60,00;59,70;60,00;60,00;60,00;60,00;0,00;0,00;60,00;60,00;68,46;60,00;59,70;68,46;0,00;60,00;0,00;60,00
20080101;14;51,76;0,00;51,76;51,76;51,76;51,76;51,76;51,76;51,76;51,76;51,76;51,76;51,76;0,00;0,00;51,76;51,76;51,76;51,76;51,76;51,76;0,00;51,76;0,00;51,76
20080101;15;51,75;0,00;51,75;51,75;51,75;51,75;51,75;51,75;51,75;51,75;51,75;51,75;51,75;0,00;0,00;51,75;51,75;51,75;51,75;51,75;51,75;0,00;51,75;0,00;51,75
20080101;16;51,74;0,00;51,74;51,74;51,74;51,74;51,74;51,74;51,74;51,74;51,74;51,74;51,74;0,00;0,00;51,74;51,74;51,74;51,74;51,74;51,74;0,00;51,74;0,00;51,74
20080101;17;51,77;0,00;51,77;51,77;51,77;51,77;51,77;51,77;51,77;51,77;51,77;51,77;51,77;0,00;0,00;51,77;51,77;51,77;51,77;51,77;51,77;0,00;51,77;0,00;51,77
20080101;18;74,73;0,00;75,38;75,38;75,38;60,60;60,60;75,38;60,60;75,38;75,38;75,38;75,38;0,00;0,00;75,38;75,38;75,46;75,38;60,60;75,46;0,00;75,38;0,00;75,38
20080101;19;79,42;0,00;75,45;75,45;75,45;75,45;75,45;75,45;75,45;75,45;75,45;75,45;75,45;0,00;0,00;75,45;75,45;130,00;75,45;75,45;130,00;0,00;75,45;0,00;75,45
20080101;20;84,43;0,00;84,43;84,43;84,43;84,43;84,43;84,43;84,43;84,43;84,43;84,43;84,43;0,00;0,00;84,43;84,43;84,46;84,43;84,43;84,46;0,00;84,43;0,00;84,43
20080101;21;112,42;0,00;109,39;109,39;109,39;109,39;109,39;109,39;109,39;109,39;109,39;109,39;109,39;0,00;0,00;109,39;109,39;150,00;109,39;109,39;150,00;0,00;109,39;0,00;109,39
20080101;22;101,05;0,00;100,00;100,00;100,00;99,00;99,00;100,00;99,00;100,00;100,00;100,00;100,00;0,00;0,00;100,00;100,00;114,60;100,00;99,00;114,60;0,00;100,00;0,00;100,00
20080101;23;60,72;0,00;60,75;60,75;60,75;60,00;60,00;60,75;60,00;60,75;60,75;60,75;60,75;0,00;0,00;60,75;60,75;60,76;60,75;60,00;60,76;0,00;60,75;0,00;60,75
20080101;24;60,66;0,00;60,71;60,71;60,71;59,55;59,55;60,71;59,55;60,71;60,71;60,71;60,71;0,00;0,00;60,71;60,71;60,76;60,71;59,55;60,76;0,00;60,71;0,00;60,71
20080102;1;51,60;0,00;51,68;51,68;51,68;51,68;51,68;51,68;51,68;51,68;51,68;51,68;51,68;0,00;0,00;51,68;51,68;50,65;51,68;51,68;50,65;0,00;51,68;0,00;51,68
20080102;2;51,63;0,00;51,66;51,66;51,66;51,66;51,66;51,66;51,66;51,66;51,66;51,66;51,66;0,00;0,00;51,66;51,66;51,27;51,66;51,66;51,27;0,00;51,66;0,00;51,66
20080102;3;51,62;0,00;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;0,00;0,00;51,65;51,65;51,27;51,65;51,65;51,27;0,00;51,65;0,00;51,65
20080102;4;33,64;0,00;33,67;33,67;33,67;33,67;33,67;33,67;33,67;33,67;33,67;33,67;33,67;0,00;0,00;33,67;33,67;33,27;33,67;33,67;33,27;0,00;33,67;0,00;33,67
20080102;5;33,62;0,00;33,65;33,65;33,65;33,65;33,65;33,65;33,65;33,65;33,65;33,65;33,65;0,00;0,00;33,65;33,65;33,27;33,65;33,65;33,27;0,00;33,65;0,00;33,65
20080102;6;33,62;0,00;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;33,64;0,00;0,00;33,64;33,64;33,27;33,64;33,64;33,27;0,00;33,64;0,00;33,64
20080102;7;52,65;0,00;52,65;52,65;52,65;52,65;52,65;52,65;52,65;52,65;52,65;52,65;52,65;0,00;0,00;52,65;52,65;52,65;52,65;52,65;52,65;0,00;52,65;0,00;52,65
20080102;8;75,38;0,00;75,38;75,38;75,38;75,38;75,38;75,38;75,38;75,38;75,38;75,38;75,38;0,00;0,00;75,38;75,38;75,38;75,38;75,38;75,38;0,00;75,38;0,00;75,38
20080102;9;75,42;0,00;75,42;75,42;75,42;75,42;75,42;75,42;75,42;75,42;75,42;75,42;75,42;0,00;0,00;75,42;75,42;75,42;75,42;75,42;75,42;0,00;75,42;0,00;75,42
20080102;10;88,66;0,00;88,66;88,66;88,66;88,66;88,66;88,66;88,66;88,66;88,66;88,66;88,66;0,00;0,00;88,66;88,66;88,27;88,66;88,66;88,66;0,00;88,66;0,00;88,66
20080102;11;88,67;0,00;88,67;88,67;88,67;88,67;88,67;88,67;88,67;88,67;88,67;88,67;88,67;0,00;0,00;88,67;88,67;88,27;88,67;88,67;88,67;0,00;88,67;0,00;88,67
20080102;12;90,64;0,00;90,64;90,64;90,64;90,64;90,64;90,64;90,64;90,64;90,64;90,64;90,64;0,00;0,00;90,64;90,64;90,27;90,64;90,64;90,64;0,00;90,64;0,00;90,64
20080102;13;68,64;0,00;68,64;68,64;68,64;68,64;68,64;68,64;68,64;68,64;68,64;68,64;68,64;0,00;0,00;68,64;68,64;68,27;68,64;68,64;68,64;0,00;68,64;0,00;68,64
20080102;14;60,68;0,00;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;60,68;0,00;0,00;60,68;60,68;60,27;60,68;60,68;60,68;0,00;60,68;0,00;60,68
20080102;15;59,69;0,00;59,69;59,69;59,69;59,69;59,69;59,69;59,69;59,69;59,69;59,69;59,69;0,00;0,00;59,69;59,69;59,27;59,69;59,69;59,69;0,00;59,69;0,00;59,69
20080102;16;92,00;0,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00;92,00;0,00;0,00;92,00;92,00;92,00;92,00;92,00;92,00;0,00;92,00;0,00;92,00
20080102;17;102,76;0,00;100,63;100,63;100,62;100,62;100,62;100,63;100,62;100,62;100,62;100,63;100,63;0,00;0,00;100,62;100,62;100,27;100,63;100,62;133,71;0,00;100,63;0,00;100,62
20080102;18;182,21;0,00;194,60;194,60;176,00;176,00;176,00;194,60;176,00;176,00;176,00;194,60;194,60;0,00;0,00;176,00;176,00;176,27;194,60;176,00;194,60;0,00;194,60;0,00;176,00
20080102;19;182,29;0,00;194,60;194,60;176,00;176,00;176,00;194,60;176,00;176,00;176,00;194,60;194,60;0,00;0,00;176,00;176,00;176,27;194,60;176,00;194,60;0,00;194,60;0,00;176,00
20080102;20;156,44;0,00;155,64;155,64;154,69;154,69;154,69;155,64;154,69;154,69;154,69;155,64;155,64;0,00;0,00;154,69;154,69;155,27;155,64;154,69;175,55;0,00;155,64;0,00;154,69
20080102;21;155,52;0,00;155,64;155,64;154,94;154,94;154,94;155,64;154,94;154,94;154,94;155,64;155,64;0,00;0,00;154,94;154,94;155,27;155,64;154,94;160,22;0,00;155,64;0,00;154,94
20080102;22;100,00;0,00;95,99;95,99;95,99;95,99;95,99;95,99;95,99;95,99;95,99;95,99;95,99;0,00;0,00;95,99;95,99;96,27;95,99;95,99;150,00;0,00;95,99;0,00;95,99
20080102;23;80,00;0,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00;0,00;0,00;80,00;80,00;80,00;80,00;80,00;80,00;0,00;80,00;0,00;80,00
20080102;24;71,04;0,00;71,04;71,04;71,04;71,04;71,04;71,04;71,04;71,04;71,04;71,04;71,04;0,00;0,00;71,04;71,04;71,04;71,04;71,04;71,04;0,00;71,04;0,00;71,04
20080103;1;51,63;0,00;51,65;51,65;51,71;51,71;51,71;51,71;51,71;51,71;51,71;51,65;51,71;0,00;0,00;51,71;51,71;50,65;51,65;51,71;50,65;0,00;51,71;0,00;51,71
20080103;2;51,64;0,00;51,65;51,65;51,67;51,67;51,67;51,67;51,67;51,67;51,67;51,65;51,67;0,00;0,00;51,67;51,67;51,27;51,65;51,67;51,27;0,00;51,67;0,00;51,67
20080103;3;51,62;0,00;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;51,65;0,00;0,00;51,65;51,65;51,27;51,65;51,65;51,27;0,00;51,65;0,00;51,65
20080103;4;40,62;0,00;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;0,00;0,00;40,65;40,65;40,27;40,65;40,65;40,27;0,00;40,65;0,00;40,65
20080103;5;40,62;0,00;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;0,00;0,00;40,65;40,65;40,16;40,65;40,65;40,16;0,00;40,65;0,00;40,65
20080103;6;40,63;0,00;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;40,65;0,00;0,00;40,65;40,65;40,27;40,65;40,65;40,27;0,00;40,65;0,00;40,65
20080103;7;60,64;0,00;60,64;60,64;60,64;60,64;60,64;60,64;60,64;60,64;60,64;60,64;60,64;0,00;0,00;60,64;60,64;60,64;60,64;60,64;60,64;0,00;60,64;0,00;60,64
20080103;8;66,65;0,00;66,65;66,65;66,65;66,65;66,65;66,65;66,65;66,65;66,65;66,65;66,65;0,00;0,00;66,65;66,65;66,65;66,65;66,65;66,65;0,00;66,65;0,00;66,65
20080103;9;73,64;0,00;73,64;73,64;73,64;73,64;73,64;73,64;73,64;73,64;73,64;73,64;73,64;0,00;0,00;73,64;73,64;73,64;73,64;73,64;73,64;0,00;73,64;0,00;73,64
20080103;10;94,51;0,00;90,68;90,68;90,68;90,68;90,68;90,68;90,68;90,68;90,68;90,68;90,68;0,00;0,00;90,68;90,68;90,27;90,68;90,68;150,00;0,00;90,68;0,00;90,68
20080103;11;97,33;0,00;93,69;93,69;93,69;93,69;93,69;93,69;93,69;93,69;93,69;93,69;93,69;0,00;0,00;93,69;93,69;93,27;93,69;93,69;150,00;0,00;93,69;0,00;93,69
20080103;12;94,48;0,00;90,67;90,67;90,67;90,67;90,67;90,67;90,67;90,67;90,67;90,67;90,67;0,00;0,00;90,67;90,67;90,27;90,67;90,67;150,00;0,00;90,67;0,00;90,67
20080103;13;76,66;0,00;76,66;76,66;76,66;76,66;76,66;76,66;76,66;76,66;76,66;76,66;76,66;0,00;0,00;76,66;76,66;76,50;76,66;76,66;76,66;0,00;76,66;0,00;76,66
20080103;14;56,10;0,00;56,10;56,10;56,10;56,10;56,10;56,10;56,10;56,10;56,10;56,10;56,10;0,00;0,00;56,10;56,10;56,10;56,10;56,10;56,10;0,00;56,10;0,00;56,10
20080103;15;55,10;0,00;55,10;55,10;55,10;55,10;55,10;55,10;55,10;55,10;55,10;55,10;55,10;0,00;0,00;55,10;55,10;55,10;55,10;55,10;55,10;0,00;55,10;0,00;55,10
20080103;16;79,83;0,00;74,68;74,68;74,68;74,68;74,68;74,68;74,68;74,68;74,68;74,68;74,68;0,00;0,00;74,68;74,68;74,34;74,68;74,68;150,00;0,00;74,68;0,00;74,68
20080103;17;90,79;0,00;85,68;85,68;85,68;85,68;85,68;85,68;85,68;85,68;85,68;85,68;85,68;0,00;0,00;85,68;85,68;85,27;85,68;85,68;160,22;0,00;85,68;0,00;85,68
20080103;18;177,75;0,00;174,63;174,63;174,63;174,63;174,63;174,63;174,63;174,63;174,63;174,63;174,63;0,00;0,00;174,63;174,63;174,27;174,63;174,63;220,00;0,00;174,63;0,00;174,63
20080103;19;177,82;0,00;174,61;174,61;174,61;174,61;174,61;174,61;174,61;174,61;174,61;174,61;174,61;0,00;0,00;174,61;174,61;174,27;174,61;174,61;220,00;0,00;174,61;0,00;174,61
20080103;20;158,06;0,00;155,88;155,88;155,88;155,88;155,88;155,88;155,88;155,88;155,88;155,88;155,88;0,00;0,00;155,88;155,88;156,27;155,88;155,88;185,64;0,00;155,88;0,00;155,88
20080103;21;157,22;0,00;155,88;155,88;155,88;155,88;155,88;155,88;155,88;155,53;155,53;155,88;155,88;0,00;0,00;155,53;155,53;156,27;155,88;155,88;176,00;0,00;155,88;0,00;155,53
20080103;22;123,73;0,00;121,57;121,57;121,57;121,57;121,57;121,57;121,57;121,57;121,57;121,57;121,57;0,00;0,00;121,57;121,57;122,27;121,57;121,57;150,00;0,00;121,57;0,00;121,57
20080103;23;89,59;0,00;89,58;89,58;89,58;89,58;89,58;89,58;89,58;89,58;89,58;89,58;89,58;0,00;0,00;89,58;89,58;89,65;89,58;89,58;89,65;0,00;89,58;0,00;89,58
20080103;24;65,62;0,00;65,50;65,50;65,63;65,63;65,63;65,63;65,63;65,63;65,63;65,50;65,63;0,00;0,00;65,63;65,63;65,50;65,50;65,63;65,50;0,00;65,63;0,00;65,63
20080104;1;67,27;0,00;67,27;67,27;67,27;67,27;67,27;67,27;67,27;67,27;67,27;67,27;67,27;0,00;0,00;67,27;67,27;67,27;67,27;67,27;67,27;0,00;67,27;0,00;67,27
20080104;2;60,51;0,00;60,51;60,51;60,51;60,51;60,51;60,51;60,51;60,51;60,51;60,51;60,51;0,00;0,00;60,51;60,51;60,51;60,51;60,51;60,51;0,00;60,51;0,00;60,51
20080104;3;50,61;0,00;50,61;50,61;50,61;50,61;50,61;50,61;50,61;50,61;50,61;50,61;50,61;0,00;0,00;50,61;50,61;50,61;50,61;50,61;50,61;0,00;50,61;0,00;50,61
20080104;4;50,57;0,00;50,57;50,57;50,57;50,57;50,57;50,57;50,57;50,57;50,57;50,57;50,57;0,00;0,00;50,57;50,57;50,57;50,57;50,57;50,57;0,00;50,57;0,00;50,57
20080104;5;50,60;0,00;50,60;50,60;50,60;50,60;50,60;50,60;50,60;50,60;50,60;50,60;50,60;0,00;0,00;50,60;50,60;50,60;50,60;50,60;50,60;0,00;50,60;0,00;50,60
20080104;6;51,56;0,00;51,62;51,62;51,62;51,62;51,62;51,62;51,62;51,62;51,62;51,62;51,62;0,00;0,00;51,62;51,62;50,65;51,62;51,62;50,65;0,00;51,62;0,00;51,62
20080104;7;58,67;0,00;58,67;58,67;58,67;58,67;58,67;58,67;58,67;58,67;58,67;58,67;58,67;0,00;0,00;58,67;58,67;58,67;58,67;58,67;58,67;0,00;58,67;0,00;58,67
20080104;8;76,39;0,00;74,68;74,68;74,68;120,00;120,00;74,68;120,00;74,68;74,68;74,68;74,68;0,00;0,00;74,68;74,68;74,68;74,68;120,00;74,68;0,00;74,68;0,00;74,68
20080104;9;74,71;0,00;74,71;74,71;74,71;74,71;74,71;74,71;74,71;74,71;74,71;74,71;74,71;0,00;0,00;74,71;74,71;74,71;74,71;74,71;74,71;0,00;74,71;0,00;74,71
20080104;10;99,99;0,00;96,67;96,67;96,67;96,67;96,67;96,67;96,67;96,67;96,67;96,67;96,67;0,00;0,00;96,67;96,67;96,27;96,67;96,67;150,00;0,00;96,67;0,00;96,67
20080104;11;109,07;0,00;105,64;105,64;105,64;105,64;105,64;105,64;105,64;105,64;105,64;105,64;105,64;0,00;0,00;105,64;105,64;160,00;105,64;105,64;160,00;0,00;105,64;0,00;105,64
