"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;CNOR;COAC;CORS;CSUD;FOGN;FRAN;GREC;MFTV;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ
20100101;1;53,57;54,04;54,04;54,04;54,04;54,04;54,04;54,04;54,04;54,04;54,04;54,04;48,00;54,04;54,04;48,00;54,04;54,04;54,04
20100101;2;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00;48,00
20100101;3;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65;23,65
20100101;4;10,39;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;15,00;10,00;10,00;15,00;10,00;10,00;10,00
20100101;5;10,38;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;15,00;10,00;10,00;15,00;10,00;10,00;10,00
20100101;6;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00
20100101;7;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00
20100101;8;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00
20100101;9;13,03;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;50,00;10,00;10,00;50,00;10,00;10,00;10,00
20100101;10;13,19;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;50,01;10,00;10,00;50,01;10,00;10,00;10,00
20100101;11;17,86;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;50,02;15,00;15,00;50,02;15,00;15,00;15,00
20100101;12;31,65;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;50,02;30,00;30,00;50,02;30,00;30,00;30,00
20100101;13;36,24;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;35,00;50,02;35,00;35,00;50,02;35,00;35,00;35,00
20100101;14;31,13;29,52;29,52;29,52;29,52;29,52;29,52;29,52;29,52;29,52;29,52;29,52;50,02;29,52;29,52;50,02;29,52;29,52;29,52
20100101;15;18,02;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;15,46;50,01;15,46;15,46;50,01;15,46;15,46;15,46
20100101;16;17,60;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;50,01;15,00;15,00;50,01;15,00;15,00;15,00
20100101;17;31,06;29,55;29,55;29,55;29,55;29,55;29,55;29,55;29,55;29,55;29,55;29,55;50,01;29,55;29,55;50,01;29,55;29,55;29,55
