"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;BSP;CNOR;COAC;CORS;CSUD;FOGN;FRAN;GREC;MFTV;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ
20110101;1;67,12;67,12;67,12;25,97;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12;67,12
20110101;2;59,10;59,43;59,43;20,50;59,43;59,43;59,43;59,43;59,43;59,43;59,43;59,43;59,43;55,26;59,43;59,43;55,26;59,43;59,43;59,43
20110101;3;55,00;55,00;55,00;15,86;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00
20110101;4;54,02;54,02;54,02;12,70;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02
20110101;5;54,01;54,01;54,01;14,05;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01
20110101;6;54,00;54,00;54,00;16,50;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00
20110101;7;54,02;54,02;54,02;18,00;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02;54,02
20110101;8;48,54;51,03;51,03;21,00;51,03;51,03;51,03;51,03;51,03;51,03;51,03;51,03;51,03;15,00;51,03;51,03;15,00;51,03;51,03;51,03
20110101;9;54,00;54,00;54,00;27,20;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00
20110101;10;60,04;60,04;60,04;33,19;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04;60,04
20110101;11;71,66;69,52;69,52;37,13;69,52;69,52;69,52;69,52;69,52;69,52;69,52;69,52;69,52;97,00;69,52;69,52;97,00;69,52;69,52;69,52
20110101;12;76,23;74,45;74,45;43,89;74,45;74,45;74,45;74,45;74,45;74,45;74,45;74,45;74,45;97,01;74,45;74,45;97,01;74,45;74,45;74,45
20110101;13;77,16;75,45;75,45;42,57;75,45;75,45;75,45;75,45;75,45;75,45;75,45;75,45;75,45;97,01;75,45;75,45;97,01;75,45;75,45;75,45
20110101;14;67,57;65,15;65,15;37,88;65,15;65,15;65,15;65,15;65,15;65,15;65,15;65,15;65,15;97,00;65,15;65,15;97,00;65,15;65,15;65,15
20110101;15;61,00;61,00;61,00;33,17;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00
20110101;16;61,00;61,00;61,00;33,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00;61,00
20110101;17;69,00;69,00;69,00;37,20;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00
20110101;18;81,25;80,02;80,02;43,22;80,02;80,02;80,02;80,02;80,02;80,02;80,02;80,02;80,02;97,00;80,02;80,02;97,00;80,02;80,02;80,02
20110101;19;84,05;83,04;83,04;49,27;83,04;83,04;83,04;83,04;83,04;83,04;83,04;83,04;83,04;97,00;83,04;83,04;97,00;83,04;83,04;83,04
20110101;20;84,07;83,06;83,06;47,16;83,06;83,06;83,06;83,06;83,06;83,06;83,06;83,06;83,06;97,01;83,06;83,06;97,01;83,06;83,06;83,06
20110101;21;81,33;80,07;80,07;45,70;80,07;80,07;80,07;80,07;80,07;80,07;80,07;80,07;80,07;97,01;80,07;80,07;97,01;80,07;80,07;80,07
20110101;22;79,48;78,05;78,05;39,11;78,05;78,05;78,05;78,05;78,05;78,05;78,05;78,05;78,05;97,01;78,05;78,05;97,01;78,05;78,05;78,05
20110101;23;76,56;75,03;75,03;43,91;75,03;75,03;75,03;75,03;75,03;75,03;75,03;75,03;75,03;95,00;75,03;75,03;95,00;75,03;75,03;75,03
20110101;24;68,00;68,00;68,00;34,32;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00;68,00
20110102;1;60,45;60,45;60,45;35,56;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45;60,45
20110102;2;54,50;54,50;54,50;26,36;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50
20110102;3;51,03;54,01;54,01;23,11;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;15,00;54,01;54,01;15,00;54,01;54,01;54,01
20110102;4;51,06;54,00;54,00;17,80;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;15,00;54,00;54,00;15,00;54,00;54,00;54,00
20110102;5;51,11;54,00;54,00;13,13;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;15,00;54,00;54,00;15,00;54,00;54,00;54,00
20110102;6;51,14;54,01;54,01;21,49;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;54,01;15,00;54,01;54,01;15,00;54,01;54,01;54,01
20110102;7;54,50;54,50;54,50;15,35;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50;54,50
20110102;8;59,50;59,50;59,50;24,22;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50
20110102;9;65,56;63,00;63,00;30,92;63,00;63,00;63,00;63,00;63,00;63,00;63,00;63,00;63,00;97,01;63,00;63,00;97,01;63,00;63,00;63,00
20110102;10;75,08;73,25;73,25;38,12;73,25;73,25;73,25;73,25;73,25;73,25;73,25;73,25;73,25;97,01;73,25;73,25;97,01;73,25;73,25;73,25
20110102;11;75,79;74,00;74,00;42,91;74,00;74,00;74,00;74,00;74,00;74,00;74,00;74,00;74,00;97,02;74,00;74,00;97,02;74,00;74,00;74,00
