"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;BSP;CNOR;COAC;CORS;CSUD;FOGN;FRAN;GREC;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ
20120101;1;82,81;83,95;83,95;23,67;83,95;83,95;83,95;83,95;83,95;83,95;83,95;83,95;70,03;83,95;83,95;70,03;83,95;83,95;83,95
20120101;2;75,77;77,27;77,27;12,27;77,27;77,27;77,27;77,27;77,27;77,27;77,27;77,27;59,03;77,27;77,27;59,03;77,27;77,27;77,27
20120101;3;59,92;60,00;60,00;5,00;60,00;60,00;60,00;60,00;60,00;60,00;60,00;60,00;59,03;60,00;60,00;59,03;60,00;60,00;60,00
20120101;4;59,92;60,00;60,00;0,50;60,00;60,00;60,00;60,00;60,00;60,00;60,00;60,00;59,03;60,00;60,00;59,03;60,00;60,00;60,00
20120101;5;59,01;59,01;59,01;0,50;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01;59,01
20120101;6;58,50;58,50;58,50;0,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50
20120101;7;58,54;58,50;58,50;0,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;58,50;59,00;58,50;58,50;59,00;58,50;58,50;58,50
20120101;8;61,10;60,00;60,00;0,50;60,00;60,00;60,00;60,00;60,00;60,00;60,00;60,00;75,00;60,00;60,00;75,00;60,00;60,00;60,00
20120101;9;57,84;55,56;55,56;2,48;55,56;55,56;55,56;55,56;55,56;55,56;55,56;55,56;84,41;55,56;55,56;84,41;55,56;55,56;55,56
20120101;10;62,27;59,50;59,50;11,52;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;92,01;59,50;59,50;92,01;59,50;59,50;59,50
20120101;11;62,91;59,55;59,55;19,46;59,55;59,55;59,55;59,55;59,55;59,55;59,55;59,55;98,03;59,55;59,55;98,03;59,55;59,55;59,55
20120101;12;65,89;62,81;62,81;23,49;62,81;62,81;62,81;62,81;62,81;62,81;62,81;62,81;98,03;62,81;62,81;98,03;62,81;62,81;62,81
20120101;13;66,06;62,97;62,97;26,02;62,97;62,97;62,97;62,97;62,97;62,97;62,97;62,97;98,03;62,97;62,97;98,03;62,97;62,97;62,97
20120101;14;57,31;54,00;54,00;23,27;54,00;54,00;54,00;54,00;54,00;54,00;54,00;54,00;92,03;54,00;54,00;92,03;54,00;54,00;54,00
20120101;15;62,21;59,50;59,50;18,65;59,50;59,50;59,50;59,50;59,50;59,50;59,50;59,50;92,03;59,50;59,50;92,03;59,50;59,50;59,50
20120101;16;66,97;64,70;64,70;19,12;64,70;64,70;64,70;64,70;64,70;64,70;64,70;64,70;92,03;64,70;64,70;92,03;64,70;64,70;64,70
20120101;17;79,56;77,98;77,98;24,53;77,98;77,98;77,98;77,98;77,98;77,98;77,98;77,98;97,03;77,98;77,98;97,03;77,98;77,98;77,98
20120101;18;90,51;89,66;89,66;40,76;89,66;89,66;89,66;89,66;89,66;89,66;89,66;89,66;100,03;89,66;89,66;100,03;89,66;89,66;89,66
20120101;19;103,83;103,73;103,73;45,03;103,73;103,73;103,73;103,73;103,73;103,73;103,73;103,73;105,03;103,73;103,73;105,03;103,73;103,73;103,73
20120101;20;105,63;104,99;104,99;41,68;104,99;104,99;104,99;104,99;104,99;104,99;104,99;104,99;113,03;104,99;104,99;113,03;104,99;104,99;104,99
20120101;21;104,51;103,75;103,75;35,78;103,75;103,75;103,75;103,75;103,75;103,75;103,75;103,75;113,03;103,75;103,75;113,03;103,75;103,75;103,75
20120101;22;94,41;93,04;93,04;29,25;93,04;93,04;93,04;93,04;93,04;93,04;93,04;93,04;110,03;93,04;93,04;110,03;93,04;93,04;93,04
20120101;23;89,64;89,61;89,61;28,93;89,61;89,61;89,61;89,61;89,61;89,61;89,61;89,61;90,03;89,61;89,61;90,03;89,61;89,61;89,61
20120101;24;80,17;80,00;80,00;22,05;80,00;80,00;80,00;80,00;80,00;80,00;80,00;80,00;82,03;80,00;80,00;82,03;80,00;80,00;80,00
20120102;1;58,20;57,00;57,00;17,70;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;72,00;57,00;57,00;72,00;57,00;57,00;57,00
20120102;2;49,45;49,45;49,45;7,06;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45;49,45
20120102;3;54,50;54,13;54,13;4,50;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;59,00;54,13;54,13;59,00;54,13;54,13;54,13
20120102;4;54,13;54,13;54,13;5,97;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13;54,13
20120102;5;57,00;57,00;57,00;7,10;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00
20120102;6;57,00;57,00;57,00;17,60;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00;57,00
20120102;7;72,00;72,00;72,00;27,93;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00;72,00
20120102;8;77,81;78,00;78,00;45,50;78,00;78,00;78,00;78,00;78,00;78,00;78,00;78,00;75,24;78,00;78,00;75,24;78,00;78,00;78,00
20120102;9;90,06;88,61;88,61;48,50;88,61;88,61;88,61;88,61;88,61;88,61;88,61;88,61;110,03;88,61;88,61;110,03;88,61;88,61;88,61
20120102;10;90,91;89,51;89,51;49,50;89,51;89,51;89,51;89,51;89,51;89,51;89,51;89,51;110,03;89,51;89,51;110,03;89,51;89,51;89,51
20120102;11;87,94;86,33;86,33;48,95;86,33;86,33;86,33;86,33;86,33;86,33;86,33;86,33;110,03;86,33;86,33;110,03;86,33;86,33;86,33
20120102;12;86,40;84,69;84,69;51,75;84,69;84,69;84,69;84,69;84,69;84,69;84,69;84,69;110,03;84,69;84,69;110,03;84,69;84,69;84,69
20120102;13;80,39;79,06;79,06;50,90;79,06;79,06;79,06;79,06;79,06;79,06;79,06;79,06;98,03;79,06;79,06;98,03;79,06;79,06;79,06
20120102;14;79,18;77,76;77,76;46,20;77,76;77,76;77,76;77,76;77,76;77,76;77,76;77,76;98,03;77,76;77,76;98,03;77,76;77,76;77,76
