"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;BSP;CNOR;COAC;CORS;CSUD;FOGN;FRAN;GREC;MALT;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ;XAUS;XFRA
20150101;1;52,33;51,10;51,10;51,10;51,10;51,10;51,10;51,10;51,10;51,10;51,10;;51,10;65,92;51,10;51,10;65,92;51,10;51,10;51,10;;
20150101;2;49,89;49,00;49,00;49,00;49,00;49,00;49,00;49,00;49,00;49,00;49,00;;49,00;59,99;49,00;49,00;59,99;49,00;49,00;49,00;;
20150101;3;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;;
20150101;4;35,87;35,87;35,87;35,87;35,87;35,87;35,87;35,87;35,87;35,87;35,87;;35,87;35,87;35,87;35,87;35,87;35,87;35,87;35,87;;
20150101;5;33,40;33,40;33,40;33,40;33,40;33,40;33,40;33,40;33,40;33,40;33,40;;33,40;33,40;33,40;33,40;33,40;33,40;33,40;33,40;;
20150101;6;36,47;36,57;36,57;36,57;36,57;36,57;36,57;36,57;36,57;36,57;36,57;;36,57;35,35;36,57;36,57;35,35;36,57;36,57;36,57;;
20150101;7;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;;39,10;39,10;39,10;39,10;39,10;39,10;39,10;39,10;;
20150101;8;44,52;45,21;45,21;45,21;45,21;45,21;45,21;45,21;45,21;45,21;45,21;;45,21;35,35;45,21;45,21;35,35;45,21;45,21;45,21;;
20150101;9;38,43;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;40,00;;40,00;18,00;40,00;40,00;18,00;40,00;40,00;40,00;;
20150101;10;40,38;40,80;40,80;40,80;40,80;40,80;40,80;40,80;40,80;40,80;40,80;;40,80;35,35;40,80;40,80;35,35;40,80;40,80;40,80;;
20150101;11;38,53;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;;38,80;35,35;38,80;38,80;35,35;38,80;38,80;38,80;;
20150101;12;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;;
20150101;13;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;;
20150101;14;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;;38,80;38,80;38,80;38,80;38,80;38,80;38,80;38,80;;
20150101;15;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;;38,85;38,85;38,85;38,85;38,85;38,85;38,85;38,85;;
20150101;16;51,10;49,95;49,95;49,95;49,95;49,95;49,95;49,95;49,95;49,95;49,95;;49,95;65,92;49,95;49,95;65,92;49,95;49,95;49,95;;
20150101;17;55,50;54,69;54,69;54,69;54,69;54,69;54,69;54,69;54,69;54,69;54,69;;54,69;65,92;54,69;54,69;65,92;54,69;54,69;54,69;;
20150101;18;62,20;61,90;61,90;61,90;61,90;61,90;61,90;61,90;61,90;61,90;61,90;;61,90;66,10;61,90;61,90;66,10;61,90;61,90;61,90;;
20150101;19;58,90;58,20;58,20;58,20;58,20;58,20;58,20;58,20;58,20;58,20;58,20;;58,20;68,00;58,20;58,20;68,00;58,20;58,20;58,20;;
20150101;20;56,96;54,44;57,88;54,44;57,88;57,88;57,88;57,88;57,88;54,44;57,88;;54,44;68,00;57,88;57,88;68,00;54,44;57,88;54,44;;
20150101;21;55,99;52,22;57,87;52,22;57,87;57,87;57,87;57,87;57,87;52,22;57,87;;52,22;68,00;57,87;57,87;68,00;52,22;57,87;52,22;;
20150101;22;53,12;50,12;53,63;50,12;53,63;53,63;53,63;53,63;53,63;50,12;53,63;;50,12;68,00;53,63;53,63;68,00;50,12;53,63;50,12;;
20150101;23;49,35;46,00;49,46;46,00;49,46;49,46;49,46;49,46;49,46;46,00;49,46;;46,00;68,00;49,46;49,46;68,00;46,00;49,46;46,00;;
20150101;24;44,89;43,00;43,00;43,00;43,00;43,00;43,00;43,00;43,00;43,00;43,00;;43,00;66,10;43,00;43,00;66,10;43,00;43,00;43,00;;
