"   Data/Date
(YYYYMMDD)";"Ora
/Hour";PUN;AUST;BRNN;BSP;CNOR;COAC;CORS;CSUD;FOGN;FRAN;GREC;MALT;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ;XAUS;XFRA
20170101;1;53,30;53,00;53,00;53,00;53,00;53,00;53,00;53,00;53,00;53,00;53,00;57,16;53,00;57,16;53,00;53,00;57,16;53,00;53,00;53,00;53,00;53,00
20170101;2;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00;52,00
20170101;3;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00;51,00
20170101;4;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27;47,27
20170101;5;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49;45,49
20170101;6;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69;45,69
20170101;7;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07;48,07
20170101;8;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67;45,67
20170101;9;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48;45,48
20170101;10;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06
20170101;11;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86;46,86
20170101;12;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02;48,02
20170101;13;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57;49,57
