"   Data/Date
(YYYYMMDD)";"Ora
/Hour";PUN;AUST;BSP;CNOR;COAC;CORS;CSUD;FRAN;GREC;MALT;MONT;NORD;ROSN;SARD;SICI;SLOV;SUD;SVIZ;XAUS;XFRA
20200101;1;41,88;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
20200101;2;38,64;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
20200101;3;36,55;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
20200101;4;32,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
20200101;5;30,85;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200101;6;30,14;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
20200101;7;30,17;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
20200101;8;30,00;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
20200101;9;30,65;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200101;10;30,65;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200101;11;30,27;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
20200101;12;30,34;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
20200101;13;30,99;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200101;14;30,04;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
20200101;15;30,75;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200101;16;32,11;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
20200101;17;35,98;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
20200101;18;42,79;43;43;43;43;43;43;43;43;44;43;43;43;43;44;43;43;43;43;43
20200101;19;45,64;44;44;44;44;44;44;44;44;62;44;44;44;44;62;44;44;44;44;44
20200101;20;48,63;47;47;47;47;47;47;47;47;65;47;47;47;47;65;47;47;47;47;47
20200101;21;48,96;47;47;47;47;47;47;47;47;69;47;47;47;47;69;47;47;47;47;47
20200101;22;43,30;42;42;43;43;43;43;42;43;55;43;42;43;43;55;42;43;42;42;42
20200101;23;40,66;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
20200101;24;36,69;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
20200102;1;35,40;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35
20200102;2;31,98;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
20200102;3;30,50;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200102;4;28,79;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29
20200102;5;28,95;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29
20200102;6;31,30;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
20200102;7;41,00;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
