"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;CALB;CNOR;CORS;CSUD;E_NE;E_NW;FRAN;GREC;MFTV;NORD;PBNF;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ;TBRV
20040401;1;35,45;35,00;30,25;30,25;35,00;55,00;35,00;35,00;35,00;35,00;30,25;0,00;35,00;35,00;30,25;30,25;55,00;30,25;35,00;35,00;35,00;35,00
20040401;2;33,06;32,26;30,51;30,51;32,26;55,00;32,26;32,26;32,26;32,26;30,51;0,00;32,26;32,26;30,51;30,51;55,00;30,51;32,26;32,26;32,26;32,26
20040401;3;32,01;31,09;30,44;30,44;31,09;55,00;31,09;31,09;31,09;31,09;30,44;0,00;31,09;31,09;30,44;30,44;55,00;30,44;31,09;31,09;31,09;31,09
20040401;4;31,02;30,00;30,00;30,00;30,00;55,00;30,00;30,00;30,00;30,00;30,00;0,00;30,00;30,00;30,00;30,00;55,00;30,00;30,00;30,00;30,00;30,00
20040401;5;31,22;30,21;30,21;30,21;30,21;55,00;30,21;30,21;30,21;30,21;30,21;0,00;30,21;30,21;30,21;30,21;55,00;30,21;30,21;30,21;30,21;30,21
20040401;6;30,82;31,76;30,25;30,25;31,76;55,00;31,76;31,76;31,76;31,76;30,25;0,00;31,76;31,76;0,00;30,25;55,00;0,00;31,76;31,76;31,76;31,76
20040401;7;35,72;35,00;35,00;35,00;35,00;55,00;35,00;35,00;35,00;35,00;35,00;0,00;35,00;35,00;34,56;35,00;55,00;34,56;35,00;35,00;35,00;35,00
20040401;8;67,71;68,79;68,79;68,79;68,79;68,79;68,79;68,79;68,79;68,79;68,79;0,00;68,79;68,79;48,62;68,79;68,79;48,62;68,79;68,79;68,79;68,79
20040401;9;70,04;69,50;69,50;69,50;69,50;85,00;69,50;69,50;69,50;69,50;69,50;0,00;69,50;69,50;68,92;69,50;85,00;69,50;69,50;69,50;69,50;69,50
20040401;10;69,99;69,46;69,46;69,46;69,46;85,00;69,46;69,46;69,46;69,46;69,46;0,00;69,46;69,46;68,91;69,46;85,00;69,46;69,46;69,46;69,46;69,46
20040401;11;69,41;69,41;69,41;69,41;69,41;69,41;69,41;69,41;69,41;69,41;69,41;0,00;69,41;69,41;68,88;69,41;69,41;69,41;69,41;69,41;69,41;69,41
20040401;12;69,29;69,29;69,29;69,29;69,29;69,29;69,29;69,29;69,29;69,29;69,29;0,00;69,29;69,29;68,88;69,29;69,29;69,29;69,29;69,29;69,29;69,29
20040401;13;69,11;69,12;69,12;69,12;69,12;69,12;69,12;69,12;69,12;69,12;69,12;0,00;69,12;69,12;68,92;69,12;69,12;68,92;69,12;69,12;69,12;69,12
20040401;14;67,57;69,10;69,10;69,10;69,10;55,00;69,10;69,10;69,10;69,10;69,10;0,00;69,10;69,10;48,63;69,10;55,00;48,63;69,10;69,10;69,10;69,10
20040401;15;67,73;69,21;69,21;69,21;69,21;55,00;69,21;69,21;69,21;69,21;69,21;0,00;69,21;69,21;48,63;69,21;55,00;48,63;69,21;69,21;69,21;69,21
20040401;16;68,67;69,13;69,13;69,13;69,13;55,00;69,13;69,13;69,13;69,13;69,13;0,00;69,13;69,13;68,75;69,13;55,00;68,75;69,13;69,13;69,13;69,13
20040401;17;67,67;69,13;69,13;69,13;69,13;55,00;69,13;69,13;69,13;69,13;69,13;0,00;69,13;69,13;48,62;69,13;55,00;48,62;69,13;69,13;69,13;69,13
20040401;18;67,57;69,06;69,06;69,06;69,06;55,00;69,06;69,06;69,06;69,06;69,06;0,00;69,06;69,06;48,63;69,06;55,00;48,63;69,06;69,06;69,06;69,06
20040401;19;68,15;69,19;69,19;69,19;69,19;69,19;69,19;69,19;69,19;69,19;69,19;0,00;69,19;69,19;48,62;69,19;69,19;48,62;69,19;69,19;69,19;69,19
20040401;20;69,37;69,40;69,40;69,40;69,40;69,40;69,40;69,40;69,40;69,40;69,40;0,00;69,40;69,40;68,79;69,40;69,40;68,79;69,40;69,40;69,40;69,40
20040401;21;68,50;68,97;68,97;68,97;68,97;55,00;68,97;68,97;68,97;68,97;68,97;0,00;68,97;68,97;68,95;68,97;55,00;68,95;68,97;68,97;68,97;68,97
20040401;22;68,67;69,18;69,18;69,18;69,18;55,00;69,18;69,18;69,18;69,18;69,18;0,00;69,18;69,18;68,92;69,18;55,00;68,92;69,18;69,18;69,18;69,18
20040401;23;35,48;35,00;27,53;31,30;35,00;55,00;35,00;35,00;35,00;35,00;27,53;0,00;35,00;35,00;31,30;27,53;55,00;31,30;35,00;35,00;35,00;35,00
20040401;24;33,73;33,34;26,95;26,95;33,34;55,00;33,34;33,34;33,34;33,34;26,95;0,00;33,34;33,34;26,95;26,95;55,00;26,95;33,34;33,34;33,34;33,34
20040402;1;33,42;32,64;32,64;34,40;32,64;50,00;32,64;32,64;0,00;0,00;32,64;32,64;32,64;32,64;34,40;32,64;50,00;34,40;32,64;32,64;0,00;32,64
20040402;2;26,21;25,00;25,00;34,23;25,00;40,00;25,00;25,00;0,00;0,00;25,00;25,00;25,00;25,00;34,23;25,00;40,00;34,23;25,00;25,00;0,00;25,00
20040402;3;26,02;25,02;25,02;34,24;25,02;35,00;25,02;25,02;0,00;0,00;25,02;25,02;25,02;25,02;34,24;25,02;35,00;34,24;25,02;25,02;0,00;25,02
20040402;4;27,43;27,11;27,11;27,11;27,11;35,00;27,11;27,11;0,00;0,00;27,11;27,11;27,11;27,11;27,11;27,11;35,00;27,11;27,11;27,11;0,00;27,11
20040402;5;25,38;24,98;24,98;24,98;24,98;35,00;24,98;24,98;0,00;0,00;24,98;24,98;24,98;24,98;24,98;24,98;35,00;24,98;24,98;24,98;0,00;24,98
20040402;6;25,92;24,93;24,93;34,37;24,93;35,00;24,93;24,93;0,00;0,00;24,93;24,93;24,93;24,93;34,37;24,93;35,00;34,37;24,93;24,93;0,00;24,93
20040402;7;35,03;34,38;34,38;34,38;34,38;55,00;34,38;34,38;34,38;34,38;34,38;34,38;34,38;34,38;32,03;34,38;55,00;32,03;34,38;34,38;34,38;34,38
20040402;8;68,72;68,78;68,78;68,78;68,78;67,00;68,78;68,78;68,78;68,78;68,78;68,78;68,78;68,78;68,78;68,78;67,00;68,78;68,78;68,78;68,78;68,78
20040402;9;70,07;70,05;70,05;70,34;70,05;70,05;70,05;70,05;70,05;70,05;70,05;70,05;70,05;70,05;70,30;70,05;70,05;70,34;70,05;70,05;70,05;70,05
20040402;10;70,79;70,10;70,10;70,34;70,10;90,10;70,10;70,10;70,10;70,10;70,10;70,10;70,10;70,10;70,30;70,10;90,10;70,34;70,10;70,10;70,10;70,10
20040402;11;70,04;70,09;70,09;70,34;70,09;68,00;70,09;70,09;70,09;70,09;70,09;70,09;70,09;70,09;70,30;70,09;68,00;70,34;70,09;70,09;70,09;70,09
20040402;12;70,19;70,30;70,30;70,30;70,30;67,00;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;70,30;67,00;70,30;70,30;70,30;70,30;70,30
20040402;13;69,40;69,48;69,50;69,50;69,50;67,00;69,50;69,48;69,48;69,48;69,50;69,48;69,48;69,50;69,50;69,50;67,00;69,50;69,48;69,50;69,48;69,48
20040402;14;69,44;69,53;69,53;69,53;69,53;67,00;69,53;69,53;69,53;69,53;69,53;69,53;69,53;69,53;69,53;69,53;67,00;69,53;69,53;69,53;69,53;69,53
20040402;15;69,43;69,91;69,91;69,91;69,91;55,00;69,91;69,91;69,91;69,91;69,91;69,91;69,91;69,91;69,91;69,91;55,00;69,91;69,91;69,91;69,91;69,91
20040402;16;69,63;69,72;69,72;69,72;69,72;67,00;69,72;69,72;69,72;69,72;69,72;69,72;69,72;69,72;69,72;69,72;67,00;69,72;69,72;69,72;69,72;69,72
20040402;17;69,25;69,73;69,73;69,73;69,73;55,00;69,73;69,73;69,73;69,73;69,73;69,73;69,73;69,73;69,73;69,73;55,00;69,73;69,73;69,73;69,73;69,73
20040402;18;69,10;69,42;69,42;69,42;69,42;60,00;69,42;69,42;69,42;69,42;69,42;69,42;69,42;69,42;69,42;69,42;60,00;69,42;69,42;69,42;69,42;69,42
20040402;19;69,38;69,43;69,43;69,92;69,43;67,00;69,43;69,43;69,43;69,43;69,43;69,43;69,43;69,43;69,92;69,43;67,00;69,92;69,43;69,43;69,43;69,43
20040402;20;69,98;70,09;70,09;70,09;70,09;67,00;70,09;70,09;70,09;70,09;70,09;70,09;70,09;70,09;69,92;70,09;67,00;69,92;70,09;70,09;70,09;70,09
20040402;21;68,32;69,48;69,48;69,48;69,48;35,00;69,48;69,48;69,48;69,48;69,48;69,48;69,48;69,48;68,77;69,48;35,00;68,77;69,48;69,48;69,48;69,48
20040402;22;69,48;69,62;69,62;69,62;69,62;67,00;69,62;69,62;69,62;69,62;69,62;69,62;69,62;69,62;68,80;69,62;67,00;68,80;69,62;69,62;69,62;69,62
20040402;23;38,60;39,31;39,31;39,31;39,31;35,00;39,31;39,31;0,00;0,00;39,31;39,31;39,31;39,31;30,00;39,31;35,00;30,00;39,31;39,31;0,00;39,31
20040402;24;36,51;37,00;36,39;36,39;37,00;35,00;37,00;37,00;0,00;0,00;36,39;37,00;37,00;37,00;29,97;36,39;35,00;29,97;37,00;37,00;0,00;37,00
20040403;1;30,47;29,53;29,53;29,53;29,53;55,21;29,53;29,53;0,00;0,00;29,53;29,53;29,53;29,53;28,87;29,53;55,21;28,87;29,53;29,53;0,00;29,53
20040403;2;34,95;34,08;34,08;34,38;34,08;55,21;34,08;34,08;0,00;0,00;34,08;34,08;34,08;34,08;34,38;34,08;55,21;34,38;34,08;34,08;0,00;34,08
20040403;3;35,77;34,99;34,99;34,99;34,99;55,21;34,99;34,99;0,00;0,00;34,99;34,99;34,99;34,99;34,44;34,99;55,21;34,44;34,99;34,99;0,00;34,99
20040403;4;35,71;34,99;34,99;34,99;34,99;55,21;34,99;34,99;0,00;0,00;34,99;34,99;34,99;34,99;33,00;34,99;55,21;33,00;34,99;34,99;0,00;34,99
20040403;5;34,89;34,00;34,00;34,37;34,00;55,21;34,00;34,00;0,00;0,00;34,00;34,00;34,00;34,00;34,37;34,00;55,21;34,37;34,00;34,00;0,00;34,00
20040403;6;32,87;31,75;31,75;34,31;31,75;55,21;31,75;31,75;0,00;0,00;31,75;31,75;31,75;31,75;34,31;31,75;55,21;34,31;31,75;31,75;0,00;31,75
20040403;7;31,02;30,00;30,00;30,00;30,00;55,21;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;55,21;30,00;30,00;30,00;30,00;30,00
20040403;8;36,31;34,99;34,99;34,99;34,99;68,11;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;68,11;34,99;34,99;34,99;34,99;34,99
20040403;9;49,17;48,41;48,41;48,41;48,41;68,11;48,41;48,41;48,41;48,41;48,41;48,41;48,41;48,41;48,41;48,41;68,11;48,41;48,41;48,41;48,41;48,41
20040403;10;48,66;47,88;47,88;48,12;47,88;68,11;47,88;47,88;47,88;47,88;47,88;47,88;47,88;47,88;48,12;47,88;68,11;48,12;47,88;47,88;47,88;47,88
20040403;11;47,77;46,98;46,98;46,98;46,98;68,11;46,98;46,98;46,98;46,98;46,98;46,98;46,98;46,98;46,98;46,98;68,11;46,98;46,98;46,98;46,98;46,98
20040403;12;47,96;47,17;47,17;47,17;47,17;68,11;47,17;47,17;47,17;47,17;47,17;47,17;47,17;47,17;47,17;47,17;68,11;47,17;47,17;47,17;47,17;47,17
20040403;13;36,28;34,99;34,99;34,99;34,99;68,11;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;68,11;34,99;34,99;34,99;34,99;34,99
20040403;14;36,34;34,99;34,99;34,99;34,99;68,11;34,99;34,99;34,99;34,99;34,99;34,99;34,99;34,99;29,20;34,99;68,11;34,99;34,99;34,99;34,99;34,99
20040403;15;31,90;30,00;30,00;34,44;30,00;68,11;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;28,33;30,00;68,11;34,44;30,00;30,00;30,00;30,00
20040403;16;31,88;29,98;29,98;34,37;29,98;68,11;29,98;29,98;29,98;29,98;29,98;29,98;29,98;29,98;34,37;29,98;68,11;34,37;29,98;29,98;29,98;29,98
20040403;17;31,76;29,81;29,81;34,38;29,81;68,11;29,81;29,81;29,81;29,81;29,81;29,81;29,81;29,81;34,38;29,81;68,11;34,38;29,81;29,81;29,81;29,81
20040403;18;31,95;30,00;30,00;34,47;30,00;68,11;30,00;30,00;30,00;30,00;30,00;30,00;30,00;30,00;34,47;30,00;68,11;34,47;30,00;30,00;30,00;30,00
20040403;19;31,38;29,34;29,34;34,38;29,34;68,11;29,34;29,34;29,34;29,34;29,34;29,34;29,34;29,34;34,38;29,34;68,11;34,38;29,34;29,34;29,34;29,34
20040403;20;31,84;30,05;30,05;34,44;30,05;68,11;30,05;30,05;30,05;30,05;30,05;30,05;30,05;30,05;34,44;30,05;68,11;34,44;30,05;30,05;30,05;30,05
20040403;21;39,15;34,99;42,00;42,00;42,00;68,11;42,00;34,99;34,99;34,99;42,00;34,99;34,99;42,00;38,00;42,00;68,11;38,00;34,99;42,00;34,99;34,99
20040403;22;38,68;35,29;40,82;40,82;40,82;68,11;40,82;35,29;35,29;35,29;40,82;35,29;35,29;40,82;34,67;40,82;68,11;34,67;35,29;40,82;35,29;35,29
20040403;23;35,91;34,99;34,99;34,99;34,99;68,11;34,99;34,99;0,00;0,00;34,99;34,99;34,99;34,99;29,12;34,99;68,11;29,12;34,99;34,99;0,00;34,99
20040403;24;34,64;33,77;33,77;33,77;33,77;55,21;33,77;33,77;0,00;0,00;33,77;33,77;33,77;33,77;33,77;33,77;55,21;33,77;33,77;33,77;0,00;33,77
20040404;1;26,14;27,11;27,11;27,11;27,11;45,34;27,11;27,11;0,00;0,00;27,11;27,11;27,11;27,11;0,00;27,11;45,34;0,00;27,11;27,11;0,00;27,11
20040404;2;24,24;24,92;24,92;24,92;24,92;45,34;24,92;24,92;0,00;0,00;24,92;24,92;24,92;24,92;0,00;24,92;45,34;0,00;24,92;24,92;0,00;24,92
20040404;3;25,78;24,82;24,82;24,82;24,82;45,34;24,82;24,82;0,00;0,00;24,82;24,82;24,82;24,82;24,70;24,82;45,34;24,70;24,82;24,82;0,00;24,82
20040404;4;25,83;24,85;24,85;24,85;24,85;45,34;24,85;24,85;0,00;0,00;24,85;24,85;24,85;24,85;24,70;24,85;45,34;24,70;24,85;24,85;0,00;24,85
20040404;5;25,81;24,85;24,85;24,85;24,85;45,34;24,85;24,85;0,00;0,00;24,85;24,85;24,85;24,85;24,70;24,85;45,34;24,70;24,85;24,85;0,00;24,85
20040404;6;25,81;24,86;24,86;24,86;24,86;45,34;24,86;24,86;0,00;0,00;24,86;24,86;24,86;24,86;24,70;24,86;45,34;24,70;24,86;24,86;0,00;24,86
20040404;7;2,68;0,00;0,00;0,00;0,00;55,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;55,87;0,00;0,00;0,00;0,00;0,00
20040404;8;4,32;0,00;0,00;26,62;0,00;45,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,62;0,00;45,34;26,62;0,00;0,00;0,00;0,00
20040404;9;6,30;0,00;0,00;34,47;0,00;70,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,47;0,00;70,02;34,47;0,00;0,00;0,00;0,00
20040404;10;28,06;25,05;25,05;35,64;25,05;70,02;25,05;25,05;25,05;25,05;25,05;25,05;25,05;25,05;35,64;25,05;70,02;35,64;25,05;25,05;25,05;25,05
