Data,Ora,PUN
20040401,1,35.45
20040401,2,33.06
20040401,3,32.01
20040401,4,31.02
20040401,5,31.22
20040401,6,30.82
20040401,7,35.72
20040401,8,67.71
20040401,9,70.04
20040401,10,69.99
20040401,11,69.41
20040401,12,69.29
20040401,13,69.11
20040401,14,67.57
20040401,15,67.73
20040401,16,68.67
20040401,17,67.67
20040401,18,67.57
20040401,19,68.15
20040401,20,69.37
20040401,21,68.5
20040401,22,68.67
20040401,23,35.48
20040401,24,33.73
20040402,1,33.42
20040402,2,26.21
20040402,3,26.02
20040402,4,27.43
20040402,5,25.38
20040402,6,25.92
20040402,7,35.03
20040402,8,68.72
20040402,9,70.07
20040402,10,70.79
20040402,11,70.04
20040402,12,70.19
20040402,13,69.4
20040402,14,69.44
20040402,15,69.43
20040402,16,69.63
20040402,17,69.25
20040402,18,69.1
20040402,19,69.38
20040402,20,69.98
20040402,21,68.32
20040402,22,69.48
20040402,23,38.6
20040402,24,36.51
20040403,1,30.47
20040403,2,34.95
20040403,3,35.77
20040403,4,35.71
20040403,5,34.89
20040403,6,32.87
20040403,7,31.02
20040403,8,36.31
20040403,9,49.17
20040403,10,48.66
20040403,11,47.77
20040403,12,47.96
20040403,13,36.28
20040403,14,36.34
20040403,15,31.9
20040403,16,31.88
20040403,17,31.76
20040403,18,31.95
20040403,19,31.38
20040403,20,31.84
20040403,21,39.15
20040403,22,38.68
20040403,23,35.91
20040403,24,34.64
20040404,1,26.14
20040404,2,24.24
20040404,3,25.78
20040404,4,25.83
20040404,5,25.81
20040404,6,25.81
20040404,7,2.68
20040404,8,4.32
20040404,9,6.3
20040404,10,28.06
20040404,11,32.34
20040404,12,32.21
20040404,13,27.74
20040404,14,5.64
20040404,15,5.21
20040404,16,5.51
20040404,17,2.12
20040404,18,4.28
20040404,19,4.01
20040404,20,35.39
20040404,21,43.04
20040404,22,41.75
20040404,23,30.28
20040404,24,24.1
20040405,1,26.11
20040405,2,25.78
20040405,3,25.48
20040405,4,20.99
20040405,5,25.56
20040405,6,29.89
20040405,7,30.77
20040405,8,68.44
20040405,9,69.1
20040405,10,68.74
20040405,11,69.15
20040405,12,68.88
20040405,13,68.44
20040405,14,68.74
20040405,15,69.26
20040405,16,68.85
20040405,17,68.75
20040405,18,69.05
20040405,19,68.99
20040405,20,69.3
20040405,21,69.49
20040405,22,69.06
20040405,23,35.37
20040405,24,34.38
20040406,1,35.18
20040406,2,35.2
20040406,3,34.7
20040406,4,34.63
20040406,5,34.37
20040406,6,35.24
20040406,7,37.94
20040406,8,70.94
20040406,9,85.42
20040406,10,85.42
20040406,11,84.12
20040406,12,70.48
20040406,13,69.13
20040406,14,70.43
20040406,15,83.38
20040406,16,83.4
20040406,17,83.39
20040406,18,83.34
20040406,19,83.88
20040406,20,75.66
20040406,21,75.37
20040406,22,75.41
20040406,23,49.51
20040406,24,34.98
20040407,1,33.35
20040407,2,33.38
20040407,3,31.81
20040407,4,30.38
20040407,5,30.38
20040407,6,34.15
20040407,7,33.97
20040407,8,64.95
20040407,9,65.89
20040407,10,65.24
