Data;Ora;PUN
2004-04-01;1;35,45
2004-04-01;2;33,06
2004-04-01;3;32,01
2004-04-01;4;31,02
2004-04-01;5;31,22
2004-04-01;6;30,82
2004-04-01;7;35,72
2004-04-01;8;67,71
2004-04-01;9;70,04
2004-04-01;10;69,99
2004-04-01;11;69,41
2004-04-01;12;69,29
2004-04-01;13;69,11
2004-04-01;14;67,57
2004-04-01;15;67,73
2004-04-01;16;68,67
2004-04-01;17;67,67
2004-04-01;18;67,57
2004-04-01;19;68,15
2004-04-01;20;69,37
2004-04-01;21;68,50
2004-04-01;22;68,67
2004-04-01;23;35,48
2004-04-01;24;33,73
2004-04-02;1;33,42
2004-04-02;2;26,21
2004-04-02;3;26,02
2004-04-02;4;27,43
2004-04-02;5;25,38
2004-04-02;6;25,92
2004-04-02;7;35,03
2004-04-02;8;68,72
2004-04-02;9;70,07
2004-04-02;10;70,79
2004-04-02;11;70,04
2004-04-02;12;70,19
2004-04-02;13;69,40
2004-04-02;14;69,44
2004-04-02;15;69,43
2004-04-02;16;69,63
2004-04-02;17;69,25
2004-04-02;18;69,10
2004-04-02;19;69,38
2004-04-02;20;69,98
2004-04-02;21;68,32
2004-04-02;22;69,48
2004-04-02;23;38,60
2004-04-02;24;36,51
2004-04-03;1;30,47
2004-04-03;2;34,95
2004-04-03;3;35,77
2004-04-03;4;35,71
2004-04-03;5;34,89
2004-04-03;6;32,87
2004-04-03;7;31,02
2004-04-03;8;36,31
2004-04-03;9;49,17
2004-04-03;10;48,66
2004-04-03;11;47,77
2004-04-03;12;47,96
2004-04-03;13;36,28
2004-04-03;14;36,34
2004-04-03;15;31,90
2004-04-03;16;31,88
2004-04-03;17;31,76
2004-04-03;18;31,95
2004-04-03;19;31,38
2004-04-03;20;31,84
2004-04-03;21;39,15
2004-04-03;22;38,68
2004-04-03;23;35,91
2004-04-03;24;34,64
2004-04-04;1;26,14
2004-04-04;2;24,24
2004-04-04;3;25,78
2004-04-04;4;25,83
2004-04-04;5;25,81
2004-04-04;6;25,81
2004-04-04;7;2,68
2004-04-04;8;4,32
2004-04-04;9;6,30
2004-04-04;10;28,06
2004-04-04;11;32,34
2004-04-04;12;32,21
2004-04-04;13;27,74
2004-04-04;14;5,64
2004-04-04;15;5,21
2004-04-04;16;5,51
2004-04-04;17;2,12
2004-04-04;18;4,28
2004-04-04;19;4,01
2004-04-04;20;35,39
2004-04-04;21;43,04
2004-04-04;22;41,75
2004-04-04;23;30,28
2004-04-04;24;24,10
2004-04-05;1;26,11
2004-04-05;2;25,78
2004-04-05;3;25,48
2004-04-05;4;20,99
2004-04-05;5;25,56
2004-04-05;6;29,89
2004-04-05;7;30,77
2004-04-05;8;68,44
2004-04-05;9;69,10
2004-04-05;10;68,74
2004-04-05;11;69,15
2004-04-05;12;68,88
2004-04-05;13;68,44
2004-04-05;14;68,74
2004-04-05;15;69,26
2004-04-05;16;68,85
2004-04-05;17;68,75
2004-04-05;18;69,05
2004-04-05;19;68,99
2004-04-05;20;69,30
2004-04-05;21;69,49
2004-04-05;22;69,06
