Data;Ora;PUN
20170101;1;53,3
20170101;2;52,0
20170101;3;51,0
20170101;4;47,27
20170101;5;45,49
20170101;6;45,69
20170101;7;48,07
20170101;8;45,67
20170101;9;45,48
20170101;10;42,06
20170101;11;46,86
20170101;12;48,02
20170101;13;49,57
20170101;14;48,69
20170101;15;46,91
20170101;16;49,43
20170101;17;50,94
20170101;18;54,26
20170101;19;60,95
20170101;20;63,42
20170101;21;58,42
20170101;22;57,27
20170101;23;54,35
20170101;24;52,5
20170102;1;53,0
20170102;2;50,18
20170102;3;49,11
20170102;4;48,15
20170102;5;48,41
20170102;6;48,15
20170102;7;52,0
20170102;8;60,3
20170102;9;65,09
20170102;10;62,67
20170102;11;61,17
20170102;12;58,26
20170102;13;54,71
20170102;14;55,01
20170102;15;59,1
20170102;16;58,4
20170102;17;61,23
20170102;18;74,09
20170102;19;78,01
20170102;20;77,26
20170102;21;71,28
20170102;22;61,61
20170102;23;56,25
20170102;24;52,23
20170103;1;50,56
20170103;2;47,09
20170103;3;44,43
20170103;4;44,7
20170103;5;44,82
20170103;6;46,13
20170103;7;52,99
20170103;8;58,09
20170103;9;59,57
20170103;10;58,6
20170103;11;57,91
20170103;12;58,46
20170103;13;54,88
20170103;14;54,67
20170103;15;57,43
20170103;16;60,54
20170103;17;62,69
20170103;18;67,01
20170103;19;63,57
20170103;20;60,4
20170103;21;61,94
20170103;22;61,42
20170103;23;58,97
20170103;24;54,95
20170104;1;58,33
20170104;2;54,97
20170104;3;53,72
20170104;4;52,0
20170104;5;51,36
20170104;6;53,02
20170104;7;59,22
20170104;8;63,6
20170104;9;66,04
20170104;10;65,72
20170104;11;65,07
20170104;12;64,27
20170104;13;60,34
20170104;14;61,96
20170104;15;62,16
20170104;16;61,52
20170104;17;63,69
20170104;18;66,71
20170104;19;71,09
20170104;20;67,08
20170104;21;65,97
20170104;22;62,42
20170104;23;58,12
20170104;24;53,54
20170105;1;44,93
20170105;2;41,98
20170105;3;43,04
20170105;4;41,44
20170105;5;38,12
20170105;6;42,26
20170105;7;49,36
20170105;8;59,98
20170105;9;60,85
20170105;10;61,49
20170105;11;60,83
20170105;12;57,21
20170105;13;52,91
20170105;14;51,79
20170105;15;54,67
20170105;16;56,97
20170105;17;61,14
20170105;18;68,4
20170105;19;66,57
20170105;20;63,22
20170105;21;59,4
20170105;22;57,82
20170105;23;57,08
20170105;24;53,23
20170106;1;50,86
20170106;2;48,08
20170106;3;46,71
20170106;4;44,0
20170106;5;43,11
20170106;6;44,19
20170106;7;48,09
20170106;8;52,82
20170106;9;51,51
20170106;10;51,8
20170106;11;52,54
20170106;12;51,0
20170106;13;52,06
20170106;14;48,23
20170106;15;52,82
20170106;16;53,23
20170106;17;57,61
20170106;18;64,5
20170106;19;69,34
20170106;20;70,15
20170106;21;69,15
20170106;22;66,49
20170106;23;59,31
20170106;24;58,43
20170107;1;50,53
20170107;2;47,64
20170107;3;47,13
20170107;4;47,66
20170107;5;45,54
20170107;6;47,01
20170107;7;48,95
20170107;8;55,1
20170107;9;57,52
20170107;10;61,0
20170107;11;59,0
20170107;12;59,19
20170107;13;51,21
20170107;14;53,77
20170107;15;52,2
20170107;16;53,16
20170107;17;58,23
20170107;18;68,24
20170107;19;75,39
20170107;20;78,41
20170107;21;68,1
20170107;22;59,29
20170107;23;59,13
20170107;24;57,97
20170108;1;53,56
20170108;2;51,82
20170108;3;51,25
20170108;4;49,97
20170108;5;47,99
20170108;6;48,0
20170108;7;49,69
20170108;8;50,13
20170108;9;51,5
20170108;10;54,0
20170108;11;55,0
20170108;12;55,12
20170108;13;54,55
20170108;14;55,11
20170108;15;54,0
20170108;16;53,0
20170108;17;54,33
20170108;18;61,32
20170108;19;71,54
20170108;20;76,21
20170108;21;74,09
20170108;22;69,65
20170108;23;61,95
20170108;24;56,34
20170109;1;53,96
20170109;2;51,79
20170109;3;49,92
20170109;4;45,75
20170109;5;45,02
20170109;6;51,37
20170109;7;60,03
20170109;8;68,22
20170109;9;78,84
20170109;10;71,79
20170109;11;70,63
20170109;12;68,3
20170109;13;66,68
20170109;14;67,95
20170109;15;67,91
20170109;16;71,53
20170109;17;72,27
20170109;18;79,7
20170109;19;84,34
20170109;20;80,85
20170109;21;78,05
20170109;22;65,45
20170109;23;62,32
20170109;24;59,98
20170110;1;59,94
20170110;2;59,6
20170110;3;59,09
20170110;4;57,99
20170110;5;59,1
20170110;6;59,84
20170110;7;64,51
20170110;8;83,6
20170110;9;95,0
20170110;10;107,55
20170110;11;101,92
20170110;12;87,63
20170110;13;82,06
20170110;14;80,0
20170110;15;86,09
20170110;16;90,0
20170110;17;98,0
20170110;18;120,0
20170110;19;109,04
20170110;20;98,32
20170110;21;92,66
20170110;22;91,58
20170110;23;71,01
20170110;24;66,98
20170111;1;66,46
20170111;2;64,79
20170111;3;62,05
20170111;4;58,21
20170111;5;58,6
20170111;6;62,29
20170111;7;74,02
20170111;8;90,7
20170111;9;96,88
20170111;10;93,1
20170111;11;82,57
20170111;12;78,83
20170111;13;77,83
20170111;14;76,18
20170111;15;77,63
20170111;16;77,73
20170111;17;80,0
20170111;18;83,65
20170111;19;95,76
20170111;20;88,71
20170111;21;85,52
20170111;22;78,64
20170111;23;78,88
20170111;24;72,6
20170112;1;75,88
20170112;2;76,6
20170112;3;72,66
20170112;4;71,58
20170112;5;71,1
20170112;6;71,88
20170112;7;76,76
20170112;8;83,83
20170112;9;96,43
20170112;10;100,0
20170112;11;98,36
20170112;12;86,92
20170112;13;80,31
20170112;14;78,3
20170112;15;82,69
20170112;16;83,77
20170112;17;86,89
20170112;18;100,0
20170112;19;96,88
20170112;20;87,84
20170112;21;82,54
20170112;22;79,42
20170112;23;73,24
20170112;24;67,13
20170113;1;66,01
20170113;2;59,93
20170113;3;54,42
20170113;4;51,17
20170113;5;49,05
20170113;6;58,8
20170113;7;76,03
20170113;8;84,8
20170113;9;89,02
20170113;10;93,86
20170113;11;91,12
20170113;12;94,17
20170113;13;83,96
20170113;14;85,44
20170113;15;83,19
20170113;16;84,0
20170113;17;83,85
20170113;18;93,18
20170113;19;93,76
20170113;20;86,77
20170113;21;81,02
20170113;22;74,08
20170113;23;72,66
20170113;24;69,34
20170114;1;62,38
20170114;2;56,42
20170114;3;52,91
20170114;4;49,89
20170114;5;46,42
20170114;6;48,45
20170114;7;54,16
20170114;8;58,57
20170114;9;66,62
20170114;10;68,39
20170114;11;65,45
20170114;12;63,23
20170114;13;62,2
20170114;14;57,86
20170114;15;56,85
20170114;16;58,29
20170114;17;60,48
20170114;18;72,89
20170114;19;85,97
20170114;20;82,56
20170114;21;77,14
20170114;22;67,68
20170114;23;69,32
20170114;24;65,42
20170115;1;61,73
20170115;2;54,8
20170115;3;53,0
20170115;4;51,59
20170115;5;50,0
20170115;6;50,0
20170115;7;51,0
20170115;8;52,19
20170115;9;55,16
20170115;10;62,47
20170115;11;64,32
20170115;12;65,31
20170115;13;68,58
20170115;14;62,38
20170115;15;57,83
20170115;16;57,06
20170115;17;56,78
20170115;18;69,47
20170115;19;85,12
20170115;20;80,37
20170115;21;77,82
20170115;22;74,9
20170115;23;68,39
20170115;24;64,0
20170116;1;55,85
20170116;2;51,38
20170116;3;48,01
20170116;4;41,89
20170116;5;40,98
20170116;6;48,98
20170116;7;64,73
20170116;8;88,46
20170116;9;103,07
20170116;10;102,04
20170116;11;95,83
20170116;12;95,08
20170116;13;90,01
20170116;14;89,63
20170116;15;94,94
20170116;16;95,73
20170116;17;95,98
20170116;18;104,26
20170116;19;113,55
20170116;20;102,84
20170116;21;89,8
20170116;22;77,65
20170116;23;73,67
20170116;24;72,02
20170117;1;68,81
20170117;2;63,95
20170117;3;65,39
20170117;4;55,98
20170117;5;55,63
20170117;6;64,12
20170117;7;81,21
20170117;8;104,56
20170117;9;120,0
20170117;10;120,0
20170117;11;112,18
20170117;12;107,61
20170117;13;97,77
20170117;14;90,74
20170117;15;95,53
20170117;16;98,7
20170117;17;102,94
20170117;18;120,0
20170117;19;139,83
20170117;20;114,36
20170117;21;97,54
20170117;22;83,75
20170117;23;79,95
20170117;24;80,83
20170118;1;71,77
20170118;2;62,44
20170118;3;57,78
20170118;4;54,14
20170118;5;52,07
20170118;6;60,4
20170118;7;79,67
20170118;8;100,74
20170118;9;102,54
20170118;10;101,31
20170118;11;94,91
20170118;12;85,34
20170118;13;82,78
20170118;14;79,49
20170118;15;79,46
20170118;16;85,73
20170118;17;81,2
20170118;18;97,96
20170118;19;109,49
20170118;20;100,5
20170118;21;84,17
20170118;22;81,16
20170118;23;80,81
20170118;24;77,32
20170119;1;70,77
20170119;2;66,12
20170119;3;63,58
20170119;4;59,76
20170119;5;58,71
20170119;6;64,72
20170119;7;78,67
20170119;8;88,7
20170119;9;100,62
20170119;10;101,16
20170119;11;107,89
20170119;12;92,48
20170119;13;80,66
20170119;14;80,65
20170119;15;82,57
20170119;16;80,61
20170119;17;85,76
20170119;18;86,34
20170119;19;110,0
20170119;20;97,41
20170119;21;86,12
20170119;22;85,2
20170119;23;80,42
20170119;24;73,37
20170120;1;72,38
20170120;2;71,51
20170120;3;68,53
20170120;4;65,65
20170120;5;61,01
20170120;6;73,79
20170120;7;87,63
20170120;8;99,57
20170120;9;120,0
20170120;10;102,61
20170120;11;98,22
20170120;12;89,58
20170120;13;81,91
20170120;14;81,43
20170120;15;82,42
20170120;16;86,02
20170120;17;85,48
20170120;18;87,4
20170120;19;99,82
20170120;20;95,7
20170120;21;83,69
20170120;22;80,34
20170120;23;79,8
20170120;24;79,46
20170121;1;74,08
20170121;2;66,42
20170121;3;62,35
20170121;4;60,97
20170121;5;59,82
20170121;6;60,29
20170121;7;60,53
20170121;8;63,92
20170121;9;70,95
20170121;10;79,22
20170121;11;73,74
20170121;12;69,34
20170121;13;60,15
20170121;14;52,84
20170121;15;53,53
20170121;16;60,28
20170121;17;59,79
20170121;18;67,1
20170121;19;77,71
20170121;20;78,36
20170121;21;64,74
20170121;22;61,34
20170121;23;58,95
20170121;24;56,14
20170122;1;69,92
20170122;2;65,11
20170122;3;60,52
20170122;4;58,44
20170122;5;56,56
20170122;6;56,44
20170122;7;57,8
20170122;8;58,15
20170122;9;59,0
20170122;10;63,65
20170122;11;65,6
20170122;12;67,15
20170122;13;67,12
20170122;14;63,46
20170122;15;58,13
20170122;16;56,54
20170122;17;58,24
20170122;18;64,22
20170122;19;79,78
20170122;20;85,7
20170122;21;85,43
20170122;22;76,33
20170122;23;73,18
20170122;24;69,07
20170123;1;60,21
20170123;2;60,31
20170123;3;58,42
20170123;4;57,62
20170123;5;55,78
20170123;6;59,22
20170123;7;71,65
20170123;8;100,03
20170123;9;120,0
20170123;10;115,75
20170123;11;110,0
20170123;12;99,53
20170123;13;92,18
20170123;14;83,5
20170123;15;82,81
20170123;16;92,17
20170123;17;96,32
20170123;18;105,06
20170123;19;125,37
20170123;20;110,96
20170123;21;99,57
20170123;22;82,93
20170123;23;76,34
20170123;24;72,69
20170124;1;72,39
20170124;2;69,94
20170124;3;65,77
20170124;4;62,54
20170124;5;62,47
20170124;6;69,01
20170124;7;84,05
20170124;8;134,3
20170124;9;162,41
20170124;10;134,85
20170124;11;128,34
20170124;12;111,92
20170124;13;101,25
20170124;14;98,04
20170124;15;96,94
20170124;16;106,54
20170124;17;110,98
20170124;18;120,0
20170124;19;133,91
20170124;20;120,0
20170124;21;108,19
20170124;22;85,27
20170124;23;78,54
20170124;24;75,56
20170125;1;78,93
20170125;2;72,41
20170125;3;70,15
20170125;4;68,3
20170125;5;65,2
20170125;6;68,98
20170125;7;89,21
20170125;8;120,0
20170125;9;161,83
20170125;10;145,14
20170125;11;120,0
20170125;12;105,8
20170125;13;102,92
20170125;14;99,43
20170125;15;100,22
20170125;16;105,24
20170125;17;109,65
20170125;18;112,75
20170125;19;152,88
20170125;20;132,14
20170125;21;107,45
20170125;22;84,82
20170125;23;83,08
20170125;24;80,99
20170126;1;83,79
20170126;2;76,42
20170126;3;75,08
20170126;4;71,82
20170126;5;70,43
20170126;6;75,57
20170126;7;92,1
20170126;8;124,3
20170126;9;137,64
20170126;10;127,5
20170126;11;100,0
20170126;12;95,32
20170126;13;83,87
20170126;14;76,77
20170126;15;84,77
20170126;16;97,62
20170126;17;106,92
20170126;18;120,0
20170126;19;126,93
20170126;20;114,91
20170126;21;98,07
20170126;22;78,11
20170126;23;77,48
20170126;24;74,24
20170127;1;70,63
20170127;2;64,13
20170127;3;60,55
20170127;4;58,07
20170127;5;58,32
20170127;6;60,62
20170127;7;67,4
20170127;8;89,14
20170127;9;97,86
20170127;10;85,31
20170127;11;79,27
20170127;12;76,81
20170127;13;73,31
20170127;14;69,25
20170127;15;69,9
20170127;16;69,25
20170127;17;72,08
20170127;18;78,55
20170127;19;87,42
20170127;20;84,96
20170127;21;79,69
20170127;22;67,61
20170127;23;65,56
20170127;24;62,67
20170128;1;58,16
20170128;2;56,36
20170128;3;54,0
20170128;4;53,0
20170128;5;53,0
20170128;6;53,82
20170128;7;55,0
20170128;8;59,59
20170128;9;59,91
20170128;10;62,01
20170128;11;64,98
20170128;12;62,22
20170128;13;61,51
20170128;14;56,93
20170128;15;54,43
20170128;16;54,73
20170128;17;58,97
20170128;18;65,55
20170128;19;79,31
20170128;20;80,93
20170128;21;73,52
20170128;22;61,98
20170128;23;62,18
20170128;24;61,25
20170129;1;57,93
20170129;2;54,8
20170129;3;52,72
20170129;4;47,51
20170129;5;45,6
20170129;6;45,99
20170129;7;50,0
20170129;8;51,88
20170129;9;53,93
20170129;10;60,26
20170129;11;64,69
20170129;12;64,72
20170129;13;66,21
20170129;14;54,51
20170129;15;52,79
20170129;16;52,77
20170129;17;54,53
20170129;18;63,08
20170129;19;77,05
20170129;20;80,34
20170129;21;77,1
20170129;22;71,1
20170129;23;67,02
20170129;24;57,49
20170130;1;52,72
20170130;2;50,0
20170130;3;47,49
20170130;4;47,7
20170130;5;47,09
20170130;6;51,41
20170130;7;61,09
20170130;8;81,45
20170130;9;94,81
20170130;10;92,34
20170130;11;79,98
20170130;12;75,0
20170130;13;71,58
20170130;14;65,91
20170130;15;72,66
20170130;16;75,4
20170130;17;85,0
20170130;18;110,0
20170130;19;120,0
20170130;20;103,97
20170130;21;94,81
20170130;22;78,13
20170130;23;72,73
20170130;24;74,19
20170131;1;61,32
20170131;2;55,0
20170131;3;53,3
20170131;4;52,0
20170131;5;52,0
20170131;6;54,0
20170131;7;70,2
20170131;8;86,66
20170131;9;100,67
20170131;10;90,34
20170131;11;87,52
20170131;12;87,31
20170131;13;79,71
20170131;14;79,29
20170131;15;86,51
20170131;16;86,2
20170131;17;86,62
20170131;18;93,11
20170131;19;102,95
20170131;20;90,17
20170131;21;84,28
20170131;22;62,67
20170131;23;60,55
20170131;24;57,42
20170201;1;55,0
20170201;2;54,99
20170201;3;51,81
20170201;4;51,1
20170201;5;50,0
20170201;6;53,0
20170201;7;61,1
20170201;8;77,7
20170201;9;94,03
20170201;10;100,11
20170201;11;99,23
20170201;12;94,49
20170201;13;73,66
20170201;14;72,67
20170201;15;79,34
20170201;16;84,29
20170201;17;95,21
20170201;18;83,65
20170201;19;96,16
20170201;20;86,51
20170201;21;74,99
20170201;22;67,43
20170201;23;61,87
20170201;24;55,95
20170202;1;53,0
20170202;2;51,0
20170202;3;51,0
20170202;4;50,33
20170202;5;51,0
20170202;6;52,0
20170202;7;62,13
20170202;8;72,11
20170202;9;85,58
20170202;10;76,69
20170202;11;73,08
20170202;12;72,81
20170202;13;61,86
20170202;14;60,8
20170202;15;67,88
20170202;16;69,47
20170202;17;70,17
20170202;18;73,57
20170202;19;77,45
20170202;20;75,79
20170202;21;68,81
20170202;22;63,03
20170202;23;58,83
20170202;24;54,01
20170203;1;50,0
20170203;2;48,31
20170203;3;47,0
20170203;4;47,23
20170203;5;47,99
20170203;6;49,52
20170203;7;60,74
20170203;8;76,22
20170203;9;95,88
20170203;10;81,82
20170203;11;78,94
20170203;12;74,13
20170203;13;62,19
20170203;14;61,4
20170203;15;63,02
20170203;16;63,99
20170203;17;63,51
20170203;18;68,23
20170203;19;74,09
20170203;20;69,63
20170203;21;62,91
20170203;22;58,69
20170203;23;54,6
20170203;24;51,38
20170204;1;53,42
20170204;2;46,78
20170204;3;43,89
20170204;4;42,49
20170204;5;43,5
20170204;6;44,92
20170204;7;47,77
20170204;8;51,0
20170204;9;56,91
20170204;10;58,69
20170204;11;55,59
20170204;12;53,58
20170204;13;46,28
20170204;14;45,49
20170204;15;44,81
20170204;16;47,38
20170204;17;51,0
20170204;18;56,75
20170204;19;66,89
20170204;20;63,65
20170204;21;57,88
20170204;22;52,81
20170204;23;50,0
20170204;24;45,7
20170205;1;49,14
20170205;2;44,86
20170205;3;37,92
20170205;4;36,65
20170205;5;36,36
20170205;6;37,5
20170205;7;43,0
20170205;8;47,83
20170205;9;47,12
20170205;10;49,27
20170205;11;52,65
20170205;12;53,89
20170205;13;53,18
20170205;14;47,49
20170205;15;44,77
20170205;16;49,38
20170205;17;51,0
20170205;18;54,95
20170205;19;65,07
20170205;20;62,78
20170205;21;58,0
20170205;22;54,95
20170205;23;51,0
20170205;24;48,89
20170206;1;43,31
20170206;2;41,4
20170206;3;38,27
20170206;4;35,1
20170206;5;36,3
20170206;6;42,49
20170206;7;55,98
20170206;8;74,95
20170206;9;88,93
20170206;10;91,76
20170206;11;90,98
20170206;12;91,46
20170206;13;73,78
20170206;14;71,54
20170206;15;79,15
20170206;16;74,54
20170206;17;75,03
20170206;18;74,4
20170206;19;86,37
20170206;20;77,29
20170206;21;73,66
20170206;22;60,69
20170206;23;57,15
20170206;24;53,3
20170207;1;51,0
20170207;2;48,65
20170207;3;45,11
20170207;4;44,86
20170207;5;43,99
20170207;6;48,25
20170207;7;53,79
20170207;8;64,9
20170207;9;69,11
20170207;10;69,9
20170207;11;67,32
20170207;12;67,82
20170207;13;60,75
20170207;14;59,15
20170207;15;61,38
20170207;16;63,11
20170207;17;64,98
20170207;18;69,71
20170207;19;80,3
20170207;20;79,76
20170207;21;69,12
20170207;22;61,64
20170207;23;59,2
20170207;24;55,38
20170208;1;51,31
20170208;2;47,57
20170208;3;44,92
20170208;4;42,74
20170208;5;42,3
20170208;6;46,0
20170208;7;54,69
20170208;8;69,92
20170208;9;74,55
20170208;10;72,87
20170208;11;72,56
20170208;12;67,44
20170208;13;65,36
20170208;14;63,13
20170208;15;64,07
20170208;16;67,44
20170208;17;67,52
20170208;18;73,85
